YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
2000,2.38,2.75,2.08,4.18
2000,2.62,3.7,1.57,3.36
2000,2.51,4.39,1.75,5.35
2000,NA,NA,10.99,14.17
2000,3.26,3.6,2.43,5.06
2000,1.75,1.85,1.03,3.68
2000,NA,NA,15.1,NA
2000,2.57,2.78,2.13,NA
2000,2.15,2.43,1.97,2.5
2000,6.55,5.65,5.2,NA
2000,NA,NA,NA,8.84
1999,18.5,NA,NA,21.8
1999,4.08,3.82,2.05,3.45
1999,3.91,4.72,2.47,3
1999,5.6,1.5,2.7,3.74
1999,5.51,2.95,1.35,3.3
1999,3.27,3.22,2.83,2.15
1999,2.91,NA,2.22,2.24
1999,NA,NA,5.77,6.97
1999,2.18,4.88,1.11,1.44
1999,6.4,NA,NA,NA
1999,NA,NA,1.65,1.95
1999,6.7,NA,4.25,6.15
1999,NA,14.52,13.2,14.4
1999,4.98,4.3,3.37,3.26
1999,10.22,8.76,9.91,9.45
1999,24.6,NA,NA,NA
1999,3.82,4.3,2.95,2.3
1998,NA,5.2,NA,NA
1998,1.8,3.66,2.46,3.9
1998,1.89,3.25,1.4,6.19
1998,2.74,5,2.95,5.96
1998,4.06,NA,1.23,5.53
1998,2.3,3.02,2.5,2.84
1998,1.94,2.36,2.08,2.59
1998,9.33,NA,6.77,9.46
1998,NA,2.36,0.92,3.99
1998,NA,23.65,NA,NA
1998,0.89,2.22,1.7,4.4
1998,NA,NA,3.07,2.44
1998,17.65,16.81,13.9,17.9
1998,1.07,4.42,2.77,6.25
1998,9.78,10.8,7.22,NA
1998,2.54,3.51,1.72,4.45
1998,NA,24.38,NA,NA
1997,6.18,5,4.5,6.52
1997,7.02,7.03,1.26,8.36
1997,3.2,3.5,2.1,3.75
1997,11.68,9,10.62,11
1997,3.53,3,2.93,4.48
1997,5.88,4.96,3.85,6.37
1997,3.96,4.5,2.77,4.49
1997,18.36,16.46,16.31,17.68
1997,5.73,4.22,2.45,6.75
1997,NA,8.01,NA,NA
1997,NA,5.6,NA,NA
1997,4.12,3.1,2.16,4.02
1997,6.23,5.53,3.36,6.64
1997,25.1,18.3,23.35,23.3
1997,NA,7.16,1.4,8.26
1997,10.12,6.6,9.18,12.26
1997,NA,24.5,24.25,NA
1997,6.3,5.95,3.3,5.62
1996,NA,26.47,21.59,27.97
1996,5.08,5.68,3.57,6.36
1996,7.3,8.5,8.59,10.43
1996,5.85,6.75,4.26,8.04
1996,NA,20.04,17.17,21.68
1996,2.5,4.6,1.9,5.03
1996,22.1,NA,NA,22.52
1996,NA,11.24,10.3,13.12
1996,2.7,3.56,3.29,3.37
1996,3.43,4.26,3.92,NA
1996,5.5,5.61,3.44,6.59
1996,4,NA,4.25,8.13
1996,3.36,5.4,2.86,7.77
1996,2.39,4.67,4.08,3.54
1996,6.8,7.45,6.28,NA
1996,4.36,8.51,3.64,8.48
2018,NA,13.7,14.07,NA
